dataframe_index,original_url,generated_filename,download_status,error_message
155,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141735%2Fsmall&type=IMAGE,image_22.jpg,Downloaded,
156,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141736%2Fsmall&type=IMAGE,image_23.jpg,Downloaded,
157,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141737%2Fsmall&type=IMAGE,image_24.jpg,Downloaded,
158,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141738%2Fsmall&type=IMAGE,image_25.jpg,Downloaded,
159,,,Skipped (Invalid URL),Empty or invalid URL found.
160,,,Skipped (Invalid URL),Empty or invalid URL found.
161,,,Skipped (Invalid URL),Empty or invalid URL found.
162,,,Skipped (Invalid URL),Empty or invalid URL found.
163,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141739%2Fsmall&type=IMAGE,image_26.jpg,Downloaded,
164,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141740%2Fsmall&type=IMAGE,image_27.jpg,Downloaded,
165,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141741%2Fsmall&type=IMAGE,image_28.jpg,Downloaded,
166,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141742%2Fsmall&type=IMAGE,image_29.jpg,Downloaded,
167,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141743%2Fsmall&type=IMAGE,image_30.jpg,Downloaded,
168,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141744%2Fsmall&type=IMAGE,image_31.jpg,Downloaded,
169,,,Skipped (Invalid URL),Empty or invalid URL found.
170,,,Skipped (Invalid URL),Empty or invalid URL found.
171,,,Skipped (Invalid URL),Empty or invalid URL found.
172,,,Skipped (Invalid URL),Empty or invalid URL found.
173,,,Skipped (Invalid URL),Empty or invalid URL found.
174,,,Skipped (Invalid URL),Empty or invalid URL found.
175,,,Skipped (Invalid URL),Empty or invalid URL found.
176,,,Skipped (Invalid URL),Empty or invalid URL found.
177,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141745%2Fsmall&type=IMAGE,image_32.jpg,Downloaded,
178,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141746%2Fsmall&type=IMAGE,image_33.jpg,Downloaded,
179,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141747%2Fsmall&type=IMAGE,image_34.jpg,Downloaded,
180,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141748%2Fsmall&type=IMAGE,image_35.jpg,Downloaded,
181,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141749%2Fsmall&type=IMAGE,image_36.jpg,Downloaded,
182,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141750%2Fsmall&type=IMAGE,image_37.jpg,Downloaded,
183,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141751%2Fsmall&type=IMAGE,image_38.jpg,Downloaded,
184,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141752%2Fsmall&type=IMAGE,image_39.jpg,Downloaded,
185,,,Skipped (Invalid URL),Empty or invalid URL found.
186,,,Skipped (Invalid URL),Empty or invalid URL found.
187,,,Skipped (Invalid URL),Empty or invalid URL found.
188,,,Skipped (Invalid URL),Empty or invalid URL found.
189,,,Skipped (Invalid URL),Empty or invalid URL found.
190,,,Skipped (Invalid URL),Empty or invalid URL found.
191,,,Skipped (Invalid URL),Empty or invalid URL found.
